product_name;generic_name;nutrition_grade_fr;stores;url
Biscuit Pomme Noisette;Biscuits;a;Franprix,Magasins U,Leclerc,E Leclerc,Delhaize;https://fr.openfoodfacts.org/produit/3175681851849/biscuit-pomme-noisette-gerble
Biscuits Figue et son;Biscuits;a;Franprix,Magasins U,Carrefour;https://fr.openfoodfacts.org/produit/3251490332080/biscuits-figue-et-son-gerble
P'tit Nature Complet;;a;Magasins U,carrefour,leclerc;https://fr.openfoodfacts.org/produit/3229820021027/p-tit-nature-complet-bjorg
Goûter 4s aux pommes;Biscuits aux pommes, très pauvres en sel;a;super u, Magasins U;https://fr.openfoodfacts.org/produit/3175681209282/gouter-4s-aux-pommes-gerble
Biscuits aux pépites de chocolat;Biscuits de son d'avoine (65%) aux pépites de chocolat (12,5%) avec édulcorants;a;;https://fr.openfoodfacts.org/produit/3760151011429/biscuits-aux-pepites-de-chocolat-dukan
Farine de blé fluide l'originale T45;Farines de blé type T45;a;Monoprix,Simply Market,Magasins U,Tous;https://fr.openfoodfacts.org/produit/3068110801235/farine-de-ble-fluide-l-originale-t45-francine
Mon flan entremets au chocolat;Préparation pour mon flan entremets au chocolat;a;Carrefour Market,intermarché, Magasins U;https://fr.openfoodfacts.org/produit/3027030028672/mon-flan-entremets-au-chocolat-ancel
Biscuits nappés de chocolat;Biscuits sucrés;a;Magasins U;https://fr.openfoodfacts.org/produit/3760151013287/biscuits-nappes-de-chocolat-dukan
Langues de chat;Biscuit langues de chat;a;Carrefour;https://fr.openfoodfacts.org/produit/3456300006537/langues-de-chat-karelea
Biscuits aux éclats de noisettes;Biscuits avec édulcorants;a;;https://fr.openfoodfacts.org/produit/3760151011054/biscuits-aux-eclats-de-noisettes-dukan
Galletas de desayuno con cereales integrales;;a;;https://fr.openfoodfacts.org/produit/8410376042498/galletas-de-desayuno-con-cereales-integrales-gullon
Les craquelins de saint malo;;a;Carrefour, Magasins U;https://fr.openfoodfacts.org/produit/3300081001208/les-craquelins-de-saint-malo
Diet fibra galletas sin azúcares;;a;;https://fr.openfoodfacts.org/produit/8410376001952/diet-fibra-galletas-sin-azucares-gullon
Biscuits à la noix de coco;;a;;https://fr.openfoodfacts.org/produit/3760151011047/biscuits-a-la-noix-de-coco-dukan
Mini Cookies aux Pepites de Chocolat;Chocolat biscuit;a;czsino,Magasins U;https://fr.openfoodfacts.org/produit/3760151013829/mini-cookies-aux-pepites-de-chocolat-dukan
Weetabix Protein;;a;Cora, Magasins U;https://fr.openfoodfacts.org/produit/5010029222005/weetabix-protein
Goûter 4S aux pommes;Biscuits à teneur réduite en sucres et très pauvres en sel, source de potassium;a;Carrefour;https://fr.openfoodfacts.org/produit/3251490304001/gouter-4s-aux-pommes-gerble
Gâteau Gourmet aux Amandes à l'Orange;Gâteau;a;Naturalia;https://fr.openfoodfacts.org/produit/3571375932250/gateau-gourmet-aux-amandes-a-l-orange-biscuiterie-de-provence
Biscuits au pur son d'avoine aux pépites de chocolat;;a;Magasins U;https://fr.openfoodfacts.org/produit/3760151014017/biscuits-au-pur-son-d-avoine-aux-pepites-de-chocolat-dukan
Biscuits au pur son d'avoine graines et fleur d'hibiscus;;a;Magasins U;https://fr.openfoodfacts.org/produit/3760151014260/biscuits-au-pur-son-d-avoine-graines-et-fleur-d-hibiscus-dukan
