product_name;generic_name;nutrition_grade_fr;stores;url
Goûter aux raisins;Goûter aux raisins (10,1%);b;Magasins U;https://fr.openfoodfacts.org/produit/3251491787810/gouter-aux-raisins-gerble
Biscuit complet au germe de blé;Biscuits complet au germe de blé, riches en fibres et en vitamine E, source de magnésium et de vitamines D, B1 et B9.;b;Magasins U,carrefour,Monoprix;https://fr.openfoodfacts.org/produit/3251490320001/biscuit-complet-au-germe-de-ble-gerble
Goûter aux écorces  confites;;b;U;https://fr.openfoodfacts.org/produit/3251491787803/gouter-aux-ecorces-confites-gerble
Crousti'Son Miel Sésame;;b;Magasins U,Monoprix;https://fr.openfoodfacts.org/produit/3175681026766/crousti-son-miel-sesame-gerble
Moelleux aux fruits rouges;Biscuits aux céréales et aux fruits rouges enrichis en fer, en magnésium, en vitamines B6 et B9 / Belvita - Le Moelleux Fruits Rouges;b;Intermarché,Leclerc, Magasins U;https://fr.openfoodfacts.org/produit/7622210444127/moelleux-aux-fruits-rouges-lu
Cookie cacao pépites;Cookie cacao pépites;b;Magasins U;https://fr.openfoodfacts.org/produit/3175681105423/cookie-cacao-pepites-gerble
Biscuit Coco;;b;Carrefour,Magasins U;https://fr.openfoodfacts.org/produit/3175681116832/biscuit-coco-gerble
Le moelleux;Biscuits aux céréales enrichis en fer, en magnésium, en vitamines B6 et B9;b;Intermarché,Magasins U;https://fr.openfoodfacts.org/produit/7622210444097/le-moelleux-belvita
Sablés Miel, Saveur Citron & Sarrasin;Sablés au miel (6,1%) avec arôme citron - Sablés Miel, Saveur Citron & Sarrasin;b;Carrefour,Magasins U;https://fr.openfoodfacts.org/produit/3175681060524/sables-miel-saveur-citron-sarrasin-cereal-bio
Biscuit sésame saveur vanille;;b;Magasins U;https://fr.openfoodfacts.org/produit/3175681116863/biscuit-sesame-saveur-vanille-gerble
Biscuit SON D'AVOINE;Biscuits au son d'avoine;b;Carrefour,Magasins U;https://fr.openfoodfacts.org/produit/3175681103849/biscuit-son-d-avoine-gerble
Sablé saveur Citron Yuzu au Maltitol;Biscuits sans sucres, avec édulcorant et arôme citron et yuzu;b;Magasins U;https://fr.openfoodfacts.org/produit/3175681134935/sable-saveur-citron-yuzu-au-maltitol-gerble
