product_name;generic_name;nutrition_grade_fr;stores;url
Eau de source;Eau de source naturelle;a;Carrefour,auchan,Leclerc;https://fr.openfoodfacts.org/produit/3274080005003/eau-de-source-cristaline
Eau Cristalline;Eau de source;a;Sogeres,Holyday Inn Toulon;https://fr.openfoodfacts.org/produit/3268840001008/eau-cristalline-cristaline
La Salvetat;Eau;a;Auchan;https://fr.openfoodfacts.org/produit/3068320115160/la-salvetat
Hépar;Eau minérale Hépar;a;Carrefour;https://fr.openfoodfacts.org/produit/7613035974685/hepar
Perrier;eau minérale naturelle renforcée au gaz de la source;a;;https://fr.openfoodfacts.org/produit/7613035833272/perrier
Eau minérale naturelle avec adjonction de gaz carbonique;Eau minérale gazeuse;a;Carrefour,Intermarché,Système U,E.Leclerc,Auchan;https://fr.openfoodfacts.org/produit/8002270014901/eau-minerale-naturelle-avec-adjonction-de-gaz-carbonique-san-pellegrino
Volvic eau minérale naturelle;;a;;https://fr.openfoodfacts.org/produit/3057640257773/volvic-eau-minerale-naturelle
Eau de Vittel;Eau minérale;a;;https://fr.openfoodfacts.org/produit/7613036249928/eau-de-vittel
Badoit®;Eau minérale naturelle avec adjonction de gaz carbonique;a;Dia,Carrefour,Bi1;https://fr.openfoodfacts.org/produit/3068320114453/badoit
Eau;Eau minérale naturelle;a;Carrefour,Leclerc;https://fr.openfoodfacts.org/produit/7613035866386/eau-contrex
NESQUIK Moins de Sucres Poudre Cacaotée Boîte;Préparation pour poudre instantanée pour boisson cacaotée.;a;Cora,Magasins U;https://fr.openfoodfacts.org/produit/7613035530799/nesquik-moins-de-sucres-poudre-cacaotee-boite-nestle
Evian 1.5L;Eau minérale;a;Carrefour,leclerc  hyper U;https://fr.openfoodfacts.org/produit/3068320120256/evian-1-5l
Evian;;a;Carrefour,Auchan;https://fr.openfoodfacts.org/produit/3068320080000/evian
Eau minérale gazeuse;;a;;https://fr.openfoodfacts.org/produit/3664320011510/eau-minerale-gazeuse-quezac
Rozana;Eau minérale naturelle, naturellement gazeuse;a;Super U,Carrefour,Auchan,Intermarché,Leclerc,E.Leclerc;https://fr.openfoodfacts.org/produit/3468570116601/rozana
Eau de source de montagne Laqueuille;Eau de source de montagne source Laqueuille;a;Leclerc;https://fr.openfoodfacts.org/produit/3564700371107/eau-de-source-de-montagne-laqueuille-marque-repere
Eau de source;Eau de Source;a;Lidl;https://fr.openfoodfacts.org/produit/20022952/eau-de-source-saguaro
Eau Minérale Naturelle Mont Roucous;Eau Minérale Naturelle;a;Auchan,Intermarché;https://fr.openfoodfacts.org/produit/3257971080112/eau-minerale-naturelle-mont-roucous
Eau de source gazéifiée Cristaline;Eau de source avec adjonction de gaz carbonique Source Vermont;a;Bi1;https://fr.openfoodfacts.org/produit/3254380008430/eau-de-source-gazeifiee-cristaline
Courmayeur - Eau minérale naturelle;Eau minérale naturelle;a;Auchan,Intermarché;https://fr.openfoodfacts.org/produit/8024884500403/courmayeur-eau-minerale-naturelle
Perrier fines bulles;;a;;https://fr.openfoodfacts.org/produit/7613035833302/perrier-fines-bulles
Eau minérale Contrex;Eau minérale naturelle;a;Carrefour;https://fr.openfoodfacts.org/produit/3179730115821/eau-minerale-contrex
Eau minérale naturelle;Eau minérale naturelle;a;;https://fr.openfoodfacts.org/produit/3048431001958/eau-minerale-naturelle-vittel
Eau Minérale Naturelle;Eau Minérale Naturelle;a;Leclerc;https://fr.openfoodfacts.org/produit/3179732333919/eau-minerale-naturelle-vittel
Eau minérale avec adjonction de gaz carbonique;Eau minérale gazeuse;a;Carrefour;https://fr.openfoodfacts.org/produit/8002270015328/eau-minerale-avec-adjonction-de-gaz-carbonique-san-pellegrino
Eau minérale;Eau minérale;a;Carrefour,Magasins U;https://fr.openfoodfacts.org/produit/3068320099651/eau-minerale-evian
Eau de source;;a;Cora;https://fr.openfoodfacts.org/produit/3254381025887/eau-de-source-cristaline
Eau Minérale;Eau minérale naturelle - Eau Minérale;a;Carrefour,Monoprix;https://fr.openfoodfacts.org/produit/3068320055008/eau-minerale-evian
NESQUIK Moins de Sucres Poudre Cacaotée boîte;Nesquik Moins de Sucre;a;Magasins U,Intermarché;https://fr.openfoodfacts.org/produit/7613036352734/nesquik-moins-de-sucres-poudre-cacaotee-boite-nestle
San Pellegrino;Eau minérale gazeuse;a;;https://fr.openfoodfacts.org/produit/8002270116544/san-pellegrino
Perrier;Eau pétillante;a;Carrefour;https://fr.openfoodfacts.org/produit/7613034579102/perrier
Eau d'Auvergne;Eau de source de montagne source Grand BarbierSource captée à 1270m;a;carrefour;https://fr.openfoodfacts.org/produit/3270190113508/eau-d-auvergne-carrefour
Volvic;Eau Minérale Naturelle;a;Auchan;https://fr.openfoodfacts.org/produit/3057640117008/volvic
Badoit Rouge bouteille;Eau minérale naturelle avec adjonction de gaz carbonique;a;Banque alimentaire;https://fr.openfoodfacts.org/produit/3068320110097/badoit-rouge-bouteille
Vichy;Eau minérale naturelle naturellement gazeuse;a;Carrefour;https://fr.openfoodfacts.org/produit/3108020266905/vichy-vichy-celestins
Eau minérale naturelle;;a;Lidl;https://fr.openfoodfacts.org/produit/20171124/eau-minerale-naturelle-saguaro
Wattwiller;Eau minérale naturelle des ballons des Vosges;a;Carrefour,Leclerc;https://fr.openfoodfacts.org/produit/3448781100002/wattwiller
Eau Perrier;Eau minérale naturelle renforcée au gaz de la source;a;;https://fr.openfoodfacts.org/produit/3179730121884/eau-perrier
Eau de source;Eau de source;a;Intermarché;https://fr.openfoodfacts.org/produit/3410280078397/eau-de-source-intermarche
St-Yorre eau minérale naturelle naturellement gazeuse;;a;;https://fr.openfoodfacts.org/produit/3100881040809/st-yorre-eau-minerale-naturelle-naturellement-gazeuse-saint-yorre
Soja Nature sans sucres ajoutés Bio;Boisson biologique à base de soja, stérilisée UHT;a;intermarché,Magasins U,Monoprix;https://fr.openfoodfacts.org/produit/3229820019604/soja-nature-sans-sucres-ajoutes-bio-bjorg
Eau Mont Blanc;Eau minérale naturelle;a;Carrefour;https://fr.openfoodfacts.org/produit/8024884600301/eau-mont-blanc
Badoit;Eau minérale naturelle avec adjonction de gaz carbonique;a;Monoprix,Magasins U;https://fr.openfoodfacts.org/produit/3068320099613/badoit
Fiée des rats;Eau de source;a;Intermarché;https://fr.openfoodfacts.org/produit/3250390050124/fiee-des-rats-intermarche
Eau minérale naturelle;;a;;https://fr.openfoodfacts.org/produit/3257971309114/eau-minerale-naturelle-mont-roucous
Eau Pure Life;Eau minérale;a;Le Mixt;https://fr.openfoodfacts.org/produit/3700123300380/pure-life-nestle
Eau minérale Naturelle des Alpes;Eau;a;Intermarché;https://fr.openfoodfacts.org/produit/3468570726299/eau-minerale-naturelle-des-alpes-thonon
Eau minérale naturelle;Eau minérale naturelle;a;Cora;https://fr.openfoodfacts.org/produit/3162850010015/eau-minerale-naturelle-saint-amand
Cristaline pétillante;Eau de source avec adjonction de gaz carbonique;a;Bi1;https://fr.openfoodfacts.org/produit/3254381016922/cristaline-petillante
Soja douceur et calcium BIO;Boisson biologique à base de soja et d'algue Lithothamnium calcareum source de calcium, stérilisée UHT;a;Carrefour,Magasins U;https://fr.openfoodfacts.org/produit/3229820019611/soja-douceur-et-calcium-bio-bjorg
