product_name;generic_name;nutrition_grade_fr;stores;url
Coca Cola Zero;;b;;https://fr.openfoodfacts.org/produit/5449000131805/coca-cola-sans-sucres-the-coca-cola-company
NESQUIK Poudre Cacaotée boîte;Préparation en poudre instantanée pour boisson cacaotée;b;Cora,Magasins U,intermarché;https://fr.openfoodfacts.org/produit/3033710065967/nesquik-poudre-cacaotee-boite-nestle
NESQUIK Poudre Cacaotée boîte;Préparation en poudre instantanée pour boisson cacaotée.;b;Intermarché,Cora,Magasins U,Leclerc;https://fr.openfoodfacts.org/produit/3033710065066/nesquik-poudre-cacaotee-boite-nestle
Lait d’amande;Lait d'amande;b;Magasins U,Intermarché;https://fr.openfoodfacts.org/produit/3229820787015/lait-d-amande-bjorg
Coca-Cola zero® sans sucres;Boisson rafraîchissante aux extrait végétaux, avec édulcorants.;b;U Express,Magasins U,Bi1;https://fr.openfoodfacts.org/produit/5000112611762/coca-cola-zero-sans-sucres-the-coca-cola-company
Pepsi max zero;Boisson gazeuse aux extraits naturels de végétaux avec édulcorants;b;Carrefour Market,Magasins U;https://fr.openfoodfacts.org/produit/3502110009357/pepsi-max-zero
Coca Zéro;Boisson rafraîchissante aux extraits végétaux, avec édulcorants;b;Magasins U,Bi1,Kaufland;https://fr.openfoodfacts.org/produit/5449000133328/coca-zero-coca-cola
Coca Cola zéro;;b;;https://fr.openfoodfacts.org/produit/5449000214799/coca-cola-zero
zero;;b;;https://fr.openfoodfacts.org/produit/5449000131836/coca-cola-zero
NESQUIK Poudre Cacaotée boîte;Préparation en poudre instantanée pour boisson cacaotée;b;Leclerc,Magasins U;https://fr.openfoodfacts.org/produit/7613034916891/nesquik-poudre-cacaotee-boite-nestle
Lait Bio Demi-Écrémé;Lait demi-écrémé stérilisé UHT issu de l'agriculture biologique;b;Bi1;https://fr.openfoodfacts.org/produit/3428272950057/lait-bio-demi-ecreme-lactel
Lait d'amande calcium;Laits d'amande;b;monoprix,Magasins U,Carrefour Market;https://fr.openfoodfacts.org/produit/3229820787008/lait-d-amande-calcium-bjorg
Roasted almond original;;b;Magasins U,Delhaize,Rewe;https://fr.openfoodfacts.org/produit/5411188110835/lait-d-amande-grillee-original-alpro
Amande;Lait d'amande avec calcium et vitamines ajoutés;b;Edeka,Carrefour,Billa,Magasins U,Géant casino,Delhaize, Alnatura;https://fr.openfoodfacts.org/produit/5411188112709/amande-alpro
Oasis O'Verger Pomme-Mûre-Cassis;;b;;https://fr.openfoodfacts.org/produit/3124480190673/oasis-o-verger-pomme-mure-cassis
NESQUIK Poudre Cacaotée boîte;;b;;https://fr.openfoodfacts.org/produit/7613033279485/nesquik-poudre-cacaotee-boite
Nesquik all natural;chocolat en poudre;b;Carrefour market;https://fr.openfoodfacts.org/produit/7613036825658/nesquik-all-natural-nestle
P'tit Yop, Goût Fraise;Yaourt à boire sucré aromatisé;b;;https://fr.openfoodfacts.org/produit/3329778164019/p-tit-yop-gout-fraise-yoplait
Lait 1/2 écremé unité;Lait demi-écrémé stérilisé UHT;b;Leclerc;https://fr.openfoodfacts.org/produit/3564700005552/lait-1-2-ecreme-unite-delisse
NESQUIK Poudre Cacaotée boîte;Préparation en poudre instantanée pour boisson cacaotée.;b;;https://fr.openfoodfacts.org/produit/7613032562526/nesquik-poudre-cacaotee-boite-nestle
