product_name;generic_name;nutrition_grade_fr;stores;url
Gazpacho;;a;Franprix,Magasins U;https://fr.openfoodfacts.org/produit/5410188031072/gazpacho-alvalle
Carottes râpées au Citron de Sicile;;a;Magasins U;https://fr.openfoodfacts.org/produit/3083681081534/carottes-rapees-au-citron-de-sicile-bonduelle
Salade & Compagnie - Montmartre;salade composée (Pâtes, oeuf, salade, jambon, crudités, emmental et sauce à l'huile d'olive et au vinaigre balsamique);a;Super U,Banque alimentaire,Magasins U;https://fr.openfoodfacts.org/produit/3242274001056/salade-compagnie-montmartre-sodebo
Ratatouille;;a;;https://fr.openfoodfacts.org/produit/3083681095296/ratatouille-cassegrain
Quinoa gourmand;Préparation à base quinoa rouge, blond et blanc, de blé dur précuit et de semoule de blé dur précuite;a;carrefour,Leclerc,Magasins U;https://fr.openfoodfacts.org/produit/3600900011037/quinoa-gourmand-tipiak
Carré gourmand Tomates et Mozzarella;Spécialité végétale à base de tomates 25% etde fromages 22%;a;Magasins U;https://fr.openfoodfacts.org/produit/7613035694958/carre-gourmand-tomates-et-mozzarella-herta
Gazpacho;;a;Magasins U;https://fr.openfoodfacts.org/produit/5038862136075/gazpacho-innocent
Lentilles préparées, carottes et oignons;Plat préparé en conserve;a;Magasins U,Auchan;https://fr.openfoodfacts.org/produit/3083680613576/lentilles-preparees-carottes-et-oignons-cassegrain
Croq' soja à la provençale;spécialité végétale à base de tofu Bio;a;Carrefour,Intermarche,Casino,Magasins U;https://fr.openfoodfacts.org/produit/3251490432650/croq-soja-a-la-provencale-cereal-bio
Céleri remoulade au fromage blanc;;a;Magasins U;https://fr.openfoodfacts.org/produit/3083681081725/celeri-remoulade-au-fromage-blanc-bonduelle
Galettes Orge & Boulghour au chèvre et miel;;a;Casino,Magasins U,Leclerc,Market;https://fr.openfoodfacts.org/produit/3175681132467/galettes-orge-boulghour-au-chevre-et-miel-cereal-bio
Ratatouille cuisinée à la Provençale;;a;Magasins U;https://fr.openfoodfacts.org/produit/3083680901024/ratatouille-cuisinee-a-la-provencale-cassegrain
Steak soja & blé;Spécialité végétale à base de protéines de soja 15.6% et de blé 5.7%;a;Super U,Magasins U,Leclerc;https://fr.openfoodfacts.org/produit/7613036092487/steak-soja-ble-herta
Galettes Epeautre et Boulghour aux petits légumes;Galette de céréales;a;Carrefour Market, Magasins U;https://fr.openfoodfacts.org/produit/3175681028098/galettes-epeautre-et-boulghour-aux-petits-legumes-cereal-bio
Cappelletti chèvre tofu épinards;Plat préparé issu de l'agriculture biologique;a;Magasins U;https://fr.openfoodfacts.org/produit/3175681061460/cappelletti-chevre-tofu-epinards-cereal-bio
Pasta Box fusilli à la bolognaise;Pâtes fraîches cuites accompagnées d'une sauce à la bolognaise;a;Carrefour,Banque alimentaire,Auchan,Magasins U;https://fr.openfoodfacts.org/produit/3242272252054/pasta-box-fusilli-a-la-bolognaise-sodebo
