product_name;generic_name;nutrition_grade_fr;stores;url
Salade & Compagnie - Manhattan;Salade composée de pâtes, œuf, de salade, de poulet rôti traité en salaison, de crudités et de fromage avec une sauce vinaigrette au vinaigre balsamique.;b;Carrefour,Super U,Auchan,Magasins U,Cora,Elclerc,Intermarche;https://fr.openfoodfacts.org/produit/3242274000059/salade-compagnie-manhattan-sodebo
Salade & Compagnie - Roma;Salade composée de pâtes, de salade, de crudités, de mozzarella et de jambon Speck avec une sauce vinaigrette au vinaigre balsamique.;b;Auchan,Casino,Carrefour,Magasins U;https://fr.openfoodfacts.org/produit/3242274003050/salade-compagnie-roma-sodebo
Le bâtonnet Moelleux - 30 bâtonnets;Préparation à base de chair de poisson;b;Magasins U;https://fr.openfoodfacts.org/produit/3302745733029/le-batonnet-moelleux-30-batonnets-fleury-michon
Galette quinoa & boulghour a la tomate;Galettes de céréales : quinoa, boulgour et tomate;b;Carrefour Market,Magasins U;https://fr.openfoodfacts.org/produit/3175681028111/galette-quinoa-boulghour-a-la-tomate-cereal-bio
Le Ravioli, Pur Bœuf;Ravioli pur bœuf;b;Banque alimentaire,Franprix,Intermarché,Auchan;https://fr.openfoodfacts.org/produit/3038352880305/le-ravioli-pur-boeuf-panzani
Taboulé oriental;Taboulés;b;Leclerc,Franprix,Magasins U;https://fr.openfoodfacts.org/produit/3083680484466/taboule-oriental-bonduelle
Mon Taboulé Oriental à l'Huile d'Olive;Taboulé oriental à l'huile d'olive vierge extra 3,2 %;b;Casino,Magasins U;https://fr.openfoodfacts.org/produit/3281780887914/mon-taboule-oriental-a-l-huile-d-olive-pierre-martinet
Ratatouille cuisinée à la Provençale;;b;Intermarché,Magasins U;https://fr.openfoodfacts.org/produit/3083680973939/ratatouille-cuisinee-a-la-provencale-cassegrain
Carottes Râpées à la Ciboulette;Carottes rapées assaisonnées;b;Lidl;https://fr.openfoodfacts.org/produit/20023751/carottes-rapees-a-la-ciboulette-saladinettes
Galette sarrasin boulghour à l'emmental;Galettes Sarrasin et Boulghour au fromage d''Emmental;b;Auchan,Casino,Carrefour Market,Magasins U;https://fr.openfoodfacts.org/produit/3259011799893/galette-sarrasin-boulghour-a-l-emmental-cereal-bio
Le bâtonnet Moelleux - 20 bâtonnets;;b;;https://fr.openfoodfacts.org/produit/3302747010029/le-batonnet-moelleux-20-batonnets-fleury-michon
Quinoa tomates olives;Plat cuisiné biologique préparé à base de quinoa blond et rouge, stérilisé;b;Carrefour,Magasins U,Carrefour Market;https://fr.openfoodfacts.org/produit/3229820181899/quinoa-tomates-olives-bjorg
