product_name;generic_name;nutrition_grade_fr;stores;url
Fraise à tartiner sans sucres ajoutés;Confiture de Fraises Sans Sucres Ajoutés;a;Magasins U;https://fr.openfoodfacts.org/produit/3175681854482/fraise-a-tartiner-sans-sucres-ajoutes-gerble
Confiture Myrtilles;Confiture myrtille sans sucres ajoutés;a;Carrefour,Magasins U;https://fr.openfoodfacts.org/produit/3175681854468/confiture-myrtilles-gerble
Glucoregul abricot;;a;Carrefour, Magasins U;https://fr.openfoodfacts.org/produit/3175681854475/glucoregul-abricot-gerble
Glucoregul framboise;;a;Carrefour, Magasins U;https://fr.openfoodfacts.org/produit/3175681136397/glucoregul-framboise-gerble
Amandino Purée d'amandes grillées Bio;Purée d'amandes complètes grillées;a;Biocoop;https://fr.openfoodfacts.org/produit/8002352303008/amandino-puree-d-amandes-grillees-bio-damiano
Confiture 5 Agrumes - 300 gr;;a;Auchan;https://fr.openfoodfacts.org/produit/3330720213136/confiture-5-agrumes-300-gr-lucien-georgelin
Confitura de fresa 0% azúcares añadidos;;a;;https://fr.openfoodfacts.org/produit/8410175068453/confitura-de-fresa-0-azucares-anadidos-hero
Mandelmus;;a;;https://fr.openfoodfacts.org/produit/4006040001515/mandelmus-rapunzel
Confiture d'abricot;;a;;https://fr.openfoodfacts.org/produit/5413285004109/confiture-d-abricot
Orge mondé et lentilles;La Joséphine - Confiture Abricot Pomme Orange;a;;https://fr.openfoodfacts.org/produit/20006785/orge-monde-et-lentilles-lydie-bio
Marmelada extra fresa;;a;;https://fr.openfoodfacts.org/produit/20074913/marmelada-extra-fresa-boule
Confitura de melocotón azúcares añadidos;;a;;https://fr.openfoodfacts.org/produit/8410175068484/confitura-de-melocoton-azucares-anadidos-hero
Diet albaricoques;;a;;https://fr.openfoodfacts.org/produit/8410175068439/diet-albaricoques-hero
Crema de chocolate y avellanas para untar con edulcorante;;a;;https://fr.openfoodfacts.org/produit/3760151011412/crema-de-chocolate-y-avellanas-para-untar-con-edulcorante-dukan
Spécialité De Cassis;;a;;https://fr.openfoodfacts.org/produit/3330724270081/specialite-de-cassis-le-jardin-de-corentin
Myrtilles & Groseilles rouges;;a;;https://fr.openfoodfacts.org/produit/5412158006219/myrtilles-groseilles-rouges-damhert
melocotón mermelada extra;;a;;https://fr.openfoodfacts.org/produit/20074920/melocoton-mermelada-extra-boule
Diet mermelada de fresa sin azúcar;;a;;https://fr.openfoodfacts.org/produit/8410095008430/diet-mermelada-de-fresa-sin-azucar-helios
Confiture Fruits;;a;;https://fr.openfoodfacts.org/produit/4260363486156/confiture-fruits-foodspring
Préparation sans sucre ajoute framboise;;a;leclerc;https://fr.openfoodfacts.org/produit/3760010230831/preparation-sans-sucre-ajoute-framboise-les-confituriers-du-vieux-cherier
Confiture de fraise extra;;a;;https://fr.openfoodfacts.org/produit/8410095500583/confiture-de-fraise-extra-helios
Pâte à tartiner;Pâte à tartiner aux noisettes avec édulcorants à valeur énergétique réduite (-54%) sans sucres ajoutés;a;Carrefour;https://fr.openfoodfacts.org/produit/3175681105393/pate-a-tartiner-gerble
Quinoa & bulgur;;a;;https://fr.openfoodfacts.org/produit/20006754/quinoa-bulgur-le-jardin-de-lydie
Confiture d'oranges;;a;;https://fr.openfoodfacts.org/produit/6111184003207/confiture-d-oranges
Confiture fraise;;a;;https://fr.openfoodfacts.org/produit/0084380981463/confiture-fraise
Les Desserts à ma Façon Mangue-Passion;;a;casino;https://fr.openfoodfacts.org/produit/3330720254269/les-desserts-a-ma-facon-mangue-passion-lucien-georgelin
Confiture griottes;;a;colruyt;https://fr.openfoodfacts.org/produit/5410986073403/confiture-griottes-pur-natur
Helios Mermelada Diet Arandano X 280G [];;a;;https://fr.openfoodfacts.org/produit/8410095506226/helios-mermelada-diet-arandano-x-280g
Le goût du fruit 'pruneaux';Préparation de fruits;a;;https://fr.openfoodfacts.org/produit/3517830302145/le-gout-du-fruit-pruneaux-collines-en-limousin
Confiture de fraises;;a;;https://fr.openfoodfacts.org/produit/0201300022192/confiture-de-fraises
Filets de hareng;;a;Migros;https://fr.openfoodfacts.org/produit/27003053/filets-de-hareng-migros-bio
Pâte à tartiner Amande Miel;;a;;https://fr.openfoodfacts.org/produit/3770008500006/pate-a-tartiner-amande-miel-go-nuts
Marmelada extra de Abricot;;a;;https://fr.openfoodfacts.org/produit/8410095501375/marmelada-extra-de-abricot-helios
Specialite de fruits sans sucre ajouté;;a;;https://fr.openfoodfacts.org/produit/3338043602026/specialite-de-fruits-sans-sucre-ajoute
Purée de châtaigne d'Ardèche nature;Purée de châtaigne;a;Naturalia;https://fr.openfoodfacts.org/produit/3380380037085/puree-de-chataigne-d-ardeche-nature-primeal
Fruits Mijotés Au Fructose - Myrtille Sauvage;;a;;https://fr.openfoodfacts.org/produit/3396745100011/fruits-mijotes-au-fructose-myrtille-sauvage-francis-miot
Confiture de Fraises au Maltitol;;a;Delhaize;https://fr.openfoodfacts.org/produit/5400111093918/confiture-de-fraises-au-maltitol-delhaize
Mermelada de albaricoques diet;;a;;https://fr.openfoodfacts.org/produit/8410175025159/mermelada-de-albaricoques-diet-hero
Confiture de framboises de midi-Pyrénées;;a;;https://fr.openfoodfacts.org/produit/3560071013608/confiture-de-framboises-de-midi-pyrenees-reflets-de-france
