product_name;generic_name;nutrition_grade_fr;stores;url
Purée cacahuète;beurre de cacahuète;b;Biocoop,Bio14,Biotope;https://fr.openfoodfacts.org/produit/3390390000153/puree-cacahuete-jean-herve
Compotée Bonne Maman Rhubarbe;compote de rhubarbe;b;Carrefour,Magasins U;https://fr.openfoodfacts.org/produit/3045320006926/compotee-bonne-maman-rhubarbe
Pâte d'Arachide;;b;Carrefour,Grand Frais;https://fr.openfoodfacts.org/produit/3051106605016/pate-d-arachide-dakatine
Fruits des Bois;Préparation biologique aux fruits des bois;b;;https://fr.openfoodfacts.org/produit/8001505005684/fruits-des-bois-rigoni-di-asiago
Abricot;Spécialité biologique à teneur réduite en glucides - 100% issue de fruits : Abricot;b;;https://fr.openfoodfacts.org/produit/3452200002600/abricot-confiturelle
Confiture de fraises au fructose;Confiture diététique de fraise à teneur en glucides réduite destinée aux régimes hypoglucidiques;b;;https://fr.openfoodfacts.org/produit/3177710001065/confiture-de-fraises-au-fructose-vivis
Confiture de Fruits Rouges;;b;;https://fr.openfoodfacts.org/produit/3229820792057/confiture-de-fruits-rouges-gayelord-hauser
Fraise;Cuisson douce sous vide;b;;https://fr.openfoodfacts.org/produit/3299430063175/fraise-saveurs-attitudes
Confiture 4 fruits rouges;;b;;https://fr.openfoodfacts.org/produit/3330720213044/confiture-4-fruits-rouges-lucien-georgelin
purée arachide;Purée de cacahuete;b;;https://fr.openfoodfacts.org/produit/3390390002249/puree-arachide-ti-bio
Confiture Brugnon Abricot;;b;;https://fr.openfoodfacts.org/produit/3330720213181/confiture-brugnon-abricot-lucien-georgelin
Confiture Framboise fine ligne;;b;Leader Price;https://fr.openfoodfacts.org/produit/3263851870599/confiture-framboise-fine-ligne-leader-price
Spécialité d'abricot;Spécialité d'abricot;b;;https://fr.openfoodfacts.org/produit/3330724270005/specialite-d-abricot-le-jardin-de-corentin
Framboise Stevia sweet;Garniture de fruits aux framboises avec sucres et édulcorant;b;Noz;https://fr.openfoodfacts.org/produit/5410063023338/framboise-stevia-sweet-cereal
Confiture de Fraises;;b;;https://fr.openfoodfacts.org/produit/3330724201221/confiture-de-fraises-les-mousquetaires
Confiture de prunes;Attention plusieurs produits dans cette fiche.;b;Migros;https://fr.openfoodfacts.org/produit/27004746/confiture-de-prunes-tamara
Confiture extra de myrtilles sauvage;;b;;https://fr.openfoodfacts.org/produit/3665020370051/confiture-extra-de-myrtilles-sauvage-les-delices-de-pascale
Gonuts;Pâte à tartiner Gonuts sans sucre;b;;https://fr.openfoodfacts.org/produit/8032862870028/gonuts-dailylife
