product_name;generic_name;nutrition_grade_fr;stores;url
Sauce tomate basilic;Sauce tomate au basilic;a;Cora,Carrefour,Franprix,Magasins U,COOP;https://fr.openfoodfacts.org/produit/8076809513722/sauce-tomate-basilic-barilla
Provençale aux tomates fraîches;Sauce tomate cuisinée aux herbes de Provence;a;Auchan,Leclerc,Magasins U,Intermarché;https://fr.openfoodfacts.org/produit/3038359005220/provencale-aux-tomates-fraiches-panzani
Tomacouli;concentré de tomates;a;CARREFOUR MARKET,E. Leclerc;https://fr.openfoodfacts.org/produit/3038352875066/tomacouli-panzani
Bolognaise classique;;a;;https://fr.openfoodfacts.org/produit/3038359007651/bolognaise-classique-panzani
Passierte Tomaten Bio;;a;lidl;https://fr.openfoodfacts.org/produit/20884260/bio-puree-de-tomates-freshona
Tomacouli;Purée de tomates issues de l'agriculture biologique réduite à 7%;a;Magasins U,leclerc;https://fr.openfoodfacts.org/produit/3038352877008/tomacouli-panzani
Guacamole natural fresco;Guacamole fresco;a;Mercadona;https://fr.openfoodfacts.org/produit/8436008521025/guacamole-natural-fresco-montosa
Sauce arrabbiata;Sauce tomate au piment;a;Leclerc,Le Marché des Corbeaux,Franprix,Magasins U, Woolworths;https://fr.openfoodfacts.org/produit/8076809513388/sauce-arrabbiata-barilla
Purée de Tomates;;a;Lidl;https://fr.openfoodfacts.org/produit/20163402/puree-de-tomates-freshona
Bolognaise Classique;Sauce tomate cuisinée à la viande sélectionnée;a;Auchan,Magasins U,Bi1;https://fr.openfoodfacts.org/produit/3038359004582/bolognaise-classique-panzani
Tomacouli nature;;a;Magasins U;https://fr.openfoodfacts.org/produit/3038352875035/tomacouli-nature-panzani
Sauce tomate basilic;Sauce à base de tomates avec tomates cerise et basilic;a;Carrefour,Franprix, Magasins U;https://fr.openfoodfacts.org/produit/8076809535755/sauce-tomate-basilic-barilla
Sauce provençale;Sauce Provençale;a;Carrefour, Franprix, Magasins U;https://fr.openfoodfacts.org/produit/8076809543934/sauce-provencale-barilla
Sauce tomate basilic biologique;;a;Magasins U;https://fr.openfoodfacts.org/produit/8076809574150/sauce-tomate-basilic-biologique-barilla
Barilla Olive;;a;Magasins U;https://fr.openfoodfacts.org/produit/8076809513715/sauce-tomate-aux-olives-barilla
Sauce tomate Basilic Jardin BIO;Sauce tomates basilic bio;a;Carrefour,leclerc, Magasins U;https://fr.openfoodfacts.org/produit/3478820023641/sauce-tomate-basilic-jardin-bio
Tomacouli Nature;;a;;https://fr.openfoodfacts.org/produit/3038359006449/tomacouli-nature-panzani
Bolognaise;Sauce tomate cuisinée à la viande;a;Franprix;https://fr.openfoodfacts.org/produit/3038359004155/bolognaise-panzani
Tomacouli nature;;a;Magasins U;https://fr.openfoodfacts.org/produit/3038359006456/tomacouli-nature-panzani
Sauce napolitaine;Sauce tomate aux herbes aromatiques;a;Franprix,Coop, Magasins U, Woolworths;https://fr.openfoodfacts.org/produit/8076809513692/sauce-napolitaine-barilla
Passata di pomodoro;;a;Magasins U,Woolworths;https://fr.openfoodfacts.org/produit/80042563/puree-de-tomate-la-rossa-mutti
