product_name;generic_name;nutrition_grade_fr;stores;url
Tzatziki;;b;Magasins U;https://fr.openfoodfacts.org/produit/3292070007905/tzatziki-blini
Ketchup sans sucres ni sel ajoutés;;b;;https://fr.openfoodfacts.org/produit/8715700112596/ketchup-sans-sucres-ni-sel-ajoutes-heinz
Sauce bolognaise;Sauce Bolognese;b;Casino,Intermarché,Franprix,Magasins U,Carrefour Market;https://fr.openfoodfacts.org/produit/8076809513678/sauce-bolognaise-barilla
Sauce Tomates & Basilic aux Tomates fraîches;;b;Carrefour Lingostière,Magasins U,monoprix;https://fr.openfoodfacts.org/produit/3038354190402/sauce-tomates-basilic-aux-tomates-fraiches-panzani
sauce tomate cuisinée aux légumes;Sauce tomate aux légumes;b;Lidl;https://fr.openfoodfacts.org/produit/20023218/sauce-tomate-cuisinee-aux-legumes-combino
Panzani bolognaise extra riche;Sauce tomate cuisinée à la viande;b;Magasins U;https://fr.openfoodfacts.org/produit/3038359003806/panzani-bolognaise-extra-riche
Bolognaise pur boeuf;Sauce tomate cuisinée à la viande Bio;b;Magasins U;https://fr.openfoodfacts.org/produit/3038359007101/bolognaise-pur-boeuf-panzani
Sauce tomates cuisinées;tomates italiennes muries au soleil;b;Carefour, Magasins U;https://fr.openfoodfacts.org/produit/8076809570596/sauce-tomates-cuisinees-barilla
Tomates cuisinées;;b;Magasins U;https://fr.openfoodfacts.org/produit/3038359005749/tomates-cuisinees-panzani
Guacamole Extra;;b;Magasins U;https://fr.openfoodfacts.org/produit/3292070006564/guacamole-extra-l-atelier-blini
PANZANI qualité fraîchement cuisinée : basilic;Sauce tomate;b;Casino, Magasins U;https://fr.openfoodfacts.org/produit/3038359005756/panzani-qualite-fraichement-cuisinee-basilic
Salsa de tomate boloñesa vegetariana Bio;Salsa de tomate vegetariana de tipo boloñesa ecológica;b;Lidl;https://fr.openfoodfacts.org/produit/20459536/bio-pasta-sauce-vegetarienne-facon-bolognaise-combino
Sauce à cuisiner Fajitas Original;;b;Magasins U;https://fr.openfoodfacts.org/produit/8410076470553/sauce-a-cuisiner-fajitas-original-old-el-paso
Salsa de Tomate Arrabbiata;Salsa arrabbiata - Salsa de tomate ecológica picante.;b;Lidl;https://fr.openfoodfacts.org/produit/20163044/salsa-de-tomate-arrabbiata-combino
Sauce bolognaise;Sauce à base de tomates avec viande de boeuf et de porc;b;Leclerc,Carrefour, Magasins U;https://fr.openfoodfacts.org/produit/8076809535878/sauce-bolognaise-barilla
Sauce bolognaise riche;Sauce tomate cuisinée;b;Auchan,Magasins U,Carrefour;https://fr.openfoodfacts.org/produit/8076809572255/sauce-bolognaise-riche-barilla
Salsa Dip Mild;Sauce apéritif aux oignons et poivrons;b;Magasins U;https://fr.openfoodfacts.org/produit/8410076350213/salsa-dip-mild-old-el-paso
Tzatziki;Fromage frais aux concombres;b;Carrefour;https://fr.openfoodfacts.org/produit/3245412956515/tzatziki-carrefour
Basilic - Tomates fraîches et basilic;Sauce tomate cuisinée aux tomates et au basilic;b;Magasins U;https://fr.openfoodfacts.org/produit/3038359000799/basilic-tomates-fraiches-et-basilic-panzani
Tzatziki;Fromage frais et concombre;b;Leclerc;https://fr.openfoodfacts.org/produit/3564700435342/tzatziki-tables-du-monde
Sauce bolognaise aux épices 400 g Panzani;Sauce bolognaise aux épices;b;Leclerc;https://fr.openfoodfacts.org/produit/3038354191607/sauce-bolognaise-aux-epices-400-g-panzani
Sauce aux tomates fraiches;Sauce Tomate aux Tomates Fraîches - Sauce aux Tomates Fraîches;b;Magasins U,Carrefour;https://fr.openfoodfacts.org/produit/3038359005206/sauce-aux-tomates-fraiches-panzani
Tzatziki fromage blanc et comcombre;Spécialité à base de fromage blanc et de concombre;b;Magasins U;https://fr.openfoodfacts.org/produit/3256220269742/tzatziki-fromage-blanc-et-comcombre-u
Tomates cuisinées;;b;Magasins U;https://fr.openfoodfacts.org/produit/3038354192109/tomates-cuisinees-panzani
Bolognaise;Sauce bolognaise aux deux viandes.;b;Carrefour;https://fr.openfoodfacts.org/produit/3560070530021/bolognaise-carrefour
La sauce italienne à la viande rôtie;Sauce à la viande;b;Carrefour market, Magasins U;https://fr.openfoodfacts.org/produit/3021690017267/la-sauce-italienne-a-la-viande-rotie-zapetti
Sauce provençale;Sauce tomate cuisinée aux herbes de Provence;b;Leclerc,Magasins U;https://fr.openfoodfacts.org/produit/3038359005732/sauce-provencale-panzani
Sauce tomate Spaghetti;Sauce tomate;b;Carrefour,Intermarché, Magasins U;https://fr.openfoodfacts.org/produit/3478820030823/sauce-tomate-spaghetti-jardin-bio
Ketchup heinz;;b;;https://fr.openfoodfacts.org/produit/8715700112589/ketchup-heinz
Napolitaine;Sauce tomate cuisinée aux légumes.;b;Carrefour;https://fr.openfoodfacts.org/produit/3560070669813/napolitaine-carrefour
Guacamole;Préparation décongelée à base d'avocats et de poivrons rouges;b;Carrefour;https://fr.openfoodfacts.org/produit/3560071010577/guacamole-carrefour
Piccalilli Extra;Condiment avec légumes;b;Intermarché,Auchan, Magasins U;https://fr.openfoodfacts.org/produit/5000157076052/piccalilli-extra-heinz
Bolognaise;;b;;https://fr.openfoodfacts.org/produit/3038359007613/bolognaise-panzani
La Bisque de Homard;Bisque de homard;b;Super U, Magasins U;https://fr.openfoodfacts.org/produit/3036811358846/la-bisque-de-homard-liebig
L'incroyable Ketchup;Ketchup sain et Français;b;Biocoop,naturalia;https://fr.openfoodfacts.org/produit/3700663000474/l-incroyable-ketchup-quintesens
Sauce bolognaise Bio;;b;Leclerc;https://fr.openfoodfacts.org/produit/3564707116374/sauce-bolognaise-bio-bio-village
Tomato ketchup 50% menos azúcar;;b;;https://fr.openfoodfacts.org/produit/8715700423852/tomato-ketchup-50-menos-azucar-heinz
